SEDE_ATENCION|DISTRITO_ATENCION|PROVINCIA_ATENCION|DEPARTAMENTO_ATENCION|CALIDAD MIGRATORIA|SEXO|EDAD|NACIONALIDAD|ESTADO_CIVIL|ANIO_TRAMITE|MES_TRAMITE|CANTIDAD|FECHA_PROCESO
AREQUIPA|AREQUIPA|AREQUIPA|AREQUIPA|ESTATUTO MIGRATORIO ANDINO-TEMPORAL|FEMENINO|MAYOR DE EDAD (18 AÑOS A MÁS)|COLOMBIANA|NO DEFINIDO|2026|ENERO|1|2026-02-02
AREQUIPA|AREQUIPA|AREQUIPA|AREQUIPA|TRABAJADOR RESIDENTE|FEMENINO|MAYOR DE EDAD (18 AÑOS A MÁS)|CUBANA|NO DEFINIDO|2026|ENERO|1|2026-02-02
AREQUIPA|AREQUIPA|AREQUIPA|AREQUIPA|FAMILIAR RESIDENTE - PADRES DE PERUANO O EXTRANJERO RESIDENTE|FEMENINO|MAYOR DE EDAD (18 AÑOS A MÁS)|CUBANA|NO DEFINIDO|2026|ENERO|1|2026-02-02
AREQUIPA|AREQUIPA|AREQUIPA|AREQUIPA|FAMILIAR RESIDENTE - PADRES DE PERUANO O EXTRANJERO RESIDENTE|MASCULINO|MAYOR DE EDAD (18 AÑOS A MÁS)|CHINA|NO DEFINIDO|2026|ENERO|1|2026-02-02
AREQUIPA|AREQUIPA|AREQUIPA|AREQUIPA|TRABAJADOR RESIDENTE|MASCULINO|MAYOR DE EDAD (18 AÑOS A MÁS)|CUBANA|NO DEFINIDO|2026|ENERO|2|2026-02-02
AREQUIPA|AREQUIPA|AREQUIPA|AREQUIPA|FORMACION RESIDENTE|MASCULINO|MAYOR DE EDAD (18 AÑOS A MÁS)|CUBANA|NO DEFINIDO|2026|ENERO|1|2026-02-02
AREQUIPA|AREQUIPA|AREQUIPA|AREQUIPA|FAMILIAR DE RESIDENTE – ASCENDIENTE EN PRIMER GRADO DEL CÓNYUGE O DEL INTEGRANTE DE LA UNIÓN DE HECHO DE PERUANO O EXTRANJERO|MASCULINO|MAYOR DE EDAD (18 AÑOS A MÁS)|VENEZOLANA|NO DEFINIDO|2026|ENERO|1|2026-02-02
CHICLAYO|CHICLAYO|CHICLAYO|LAMBAYEQUE|FAMILIAR RESIDENTE - PADRES DE PERUANO O EXTRANJERO RESIDENTE|FEMENINO|MAYOR DE EDAD (18 AÑOS A MÁS)|CUBANA|NO DEFINIDO|2026|ENERO|1|2026-02-02
CHICLAYO|CHICLAYO|CHICLAYO|LAMBAYEQUE|FAMILIAR RESIDENTE - PADRES DE PERUANO O EXTRANJERO RESIDENTE|FEMENINO|MAYOR DE EDAD (18 AÑOS A MÁS)|VENEZOLANA|NO DEFINIDO|2026|ENERO|1|2026-02-02
CHICLAYO|CHICLAYO|CHICLAYO|LAMBAYEQUE|FAMILIAR RESIDENTE - PADRES DE PERUANO O EXTRANJERO RESIDENTE|MASCULINO|MAYOR DE EDAD (18 AÑOS A MÁS)|CUBANA|NO DEFINIDO|2026|ENERO|1|2026-02-02
