SEDE_ATENCION|DISTRITO_ATENCION|PROVINCIA_ATENCION|DEPARTAMENTO_ATENCION|CALIDAD MIGRATORIA|SEXO|EDAD|NACIONALIDAD|ESTADO_CIVIL|ANIO_TRAMITE|MES_TRAMITE|CANTIDAD|FECHA_PROCESO
AREQUIPA|AREQUIPA|AREQUIPA|AREQUIPA|DESIGNADO RESIDENTE|FEMENINO|MAYOR DE EDAD (18 AÑOS A MÁS)|CHINA|NO DEFINIDO|2026|ABRIL|2|2026-05-14
AREQUIPA|AREQUIPA|AREQUIPA|AREQUIPA|FORMACION RESIDENTE|FEMENINO|MAYOR DE EDAD (18 AÑOS A MÁS)|CUBANA|NO DEFINIDO|2026|ABRIL|1|2026-05-14
AREQUIPA|AREQUIPA|AREQUIPA|AREQUIPA|FAMILIAR RESIDENTE - PADRES DE PERUANO O EXTRANJERO RESIDENTE|FEMENINO|MAYOR DE EDAD (18 AÑOS A MÁS)|CUBANA|NO DEFINIDO|2026|ABRIL|1|2026-05-14
AREQUIPA|AREQUIPA|AREQUIPA|AREQUIPA|FAMILIAR DE RESIDENTE – ASCENDIENTE EN PRIMER GRADO DEL CÓNYUGE O DEL INTEGRANTE DE LA UNIÓN DE HECHO DE PERUANO O EXTRANJERO|FEMENINO|MAYOR DE EDAD (18 AÑOS A MÁS)|VENEZOLANA|NO DEFINIDO|2026|ABRIL|3|2026-05-14
AREQUIPA|AREQUIPA|AREQUIPA|AREQUIPA|FAMILIAR RESIDENTE - PADRES DE PERUANO O EXTRANJERO RESIDENTE|FEMENINO|MAYOR DE EDAD (18 AÑOS A MÁS)|VENEZOLANA|NO DEFINIDO|2026|ABRIL|2|2026-05-14
AREQUIPA|AREQUIPA|AREQUIPA|AREQUIPA|TRABAJADOR RESIDENTE|MASCULINO|MAYOR DE EDAD (18 AÑOS A MÁS)|CHINA|NO DEFINIDO|2026|ABRIL|3|2026-05-14
AREQUIPA|AREQUIPA|AREQUIPA|AREQUIPA|FAMILIAR RESIDENTE - PADRES DE PERUANO O EXTRANJERO RESIDENTE|MASCULINO|MAYOR DE EDAD (18 AÑOS A MÁS)|CUBANA|NO DEFINIDO|2026|ABRIL|2|2026-05-14
AREQUIPA|AREQUIPA|AREQUIPA|AREQUIPA|FAMILIAR DE RESIDENTE – ASCENDIENTE EN PRIMER GRADO DEL CÓNYUGE O DEL INTEGRANTE DE LA UNIÓN DE HECHO DE PERUANO O EXTRANJERO|MASCULINO|MAYOR DE EDAD (18 AÑOS A MÁS)|VENEZOLANA|NO DEFINIDO|2026|ABRIL|2|2026-05-14
CHICLAYO|CHICLAYO|CHICLAYO|LAMBAYEQUE|FAMILIAR RESIDENTE - PADRES DE PERUANO O EXTRANJERO RESIDENTE|FEMENINO|MAYOR DE EDAD (18 AÑOS A MÁS)|CUBANA|NO DEFINIDO|2026|ABRIL|1|2026-05-14
CHICLAYO|CHICLAYO|CHICLAYO|LAMBAYEQUE|TRABAJADOR RESIDENTE|MASCULINO|MAYOR DE EDAD (18 AÑOS A MÁS)|CUBANA|NO DEFINIDO|2026|ABRIL|1|2026-05-14
CHICLAYO|CHICLAYO|CHICLAYO|LAMBAYEQUE|FORMACION RESIDENTE|MASCULINO|MAYOR DE EDAD (18 AÑOS A MÁS)|CUBANA|NO DEFINIDO|2026|ABRIL|1|2026-05-14
CHIMBOTE|CHIMBOTE|SANTA|ANCASH|FORMACION RESIDENTE|FEMENINO|MAYOR DE EDAD (18 AÑOS A MÁS)|CUBANA|NO DEFINIDO|2026|ABRIL|1|2026-05-14
CHIMBOTE|CHIMBOTE|SANTA|ANCASH|FAMILIAR RESIDENTE-CASADO CON PERUANO(A) O EXTRANJERO(A) RESIDENTE|MASCULINO|MAYOR DE EDAD (18 AÑOS A MÁS)|CUBANA|NO DEFINIDO|2026|ABRIL|2|2026-05-14
CUSCO|CUSCO|CUSCO|CUSCO|FAMILIAR RESIDENTE-CASADO CON PERUANO(A) O EXTRANJERO(A) RESIDENTE|FEMENINO|MAYOR DE EDAD (18 AÑOS A MÁS)|CUBANA|NO DEFINIDO|2026|ABRIL|1|2026-05-14
CUSCO|CUSCO|CUSCO|CUSCO|TRABAJADOR RESIDENTE|FEMENINO|MAYOR DE EDAD (18 AÑOS A MÁS)|CUBANA|NO DEFINIDO|2026|ABRIL|1|2026-05-14
CUSCO|CUSCO|CUSCO|CUSCO|FAMILIAR RESIDENTE - PADRES DE PERUANO O EXTRANJERO RESIDENTE|FEMENINO|MAYOR DE EDAD (18 AÑOS A MÁS)|VENEZOLANA|NO DEFINIDO|2026|ABRIL|1|2026-05-14
CUSCO|CUSCO|CUSCO|CUSCO|TRABAJADOR RESIDENTE|MASCULINO|MAYOR DE EDAD (18 AÑOS A MÁS)|CUBANA|NO DEFINIDO|2026|ABRIL|2|2026-05-14
HUANCAYO|HUANCAYO|HUANCAYO|JUNIN|TRABAJADOR RESIDENTE|MASCULINO|MAYOR DE EDAD (18 AÑOS A MÁS)|CUBANA|NO DEFINIDO|2026|ABRIL|2|2026-05-14
HUANCAYO|HUANCAYO|HUANCAYO|JUNIN|FAMILIAR RESIDENTE - PADRES DE PERUANO O EXTRANJERO RESIDENTE|MASCULINO|MAYOR DE EDAD (18 AÑOS A MÁS)|CUBANA|NO DEFINIDO|2026|ABRIL|1|2026-05-14
HUANCAYO|HUANCAYO|HUANCAYO|JUNIN|FAMILIAR RESIDENTE - HIJOS(AS) SOLTEROS(AS) MAYORES DE 18 Y MENORES DE 28 AÑOS|MASCULINO|MAYOR DE EDAD (18 AÑOS A MÁS)|CUBANA|NO DEFINIDO|2026|ABRIL|1|2026-05-14
HUANCAYO|HUANCAYO|HUANCAYO|JUNIN|FAMILIAR RESIDENTE - HIJOS(AS) MENORES DE EDAD DE PERUANO O EXTRANJERO RESIDENTE|MASCULINO|MENOR DE EDAD (0 A 17 AÑOS)|CUBANA|NO DEFINIDO|2026|ABRIL|1|2026-05-14
ICA|ICA|ICA|ICA|TRABAJADOR RESIDENTE|FEMENINO|MAYOR DE EDAD (18 AÑOS A MÁS)|CUBANA|NO DEFINIDO|2026|ABRIL|1|2026-05-14
ILO|ILO|ILO|MOQUEGUA|FORMACION RESIDENTE|FEMENINO|MAYOR DE EDAD (18 AÑOS A MÁS)|CUBANA|NO DEFINIDO|2026|ABRIL|1|2026-05-14
